id,stageID,executorID,host,type,executionTime,finishTime,gettingResultTime,startTime,executorRunTime,executorDeserializerTime,resultSerializationTime,shuffleWriteTime,GCTime,resultSize,memoryBytesSpilled,diskBytesSpilled,shuffleBytesWritten,shuffleRecordsWritten,dataReadMethod,bytesRead,recordsRead,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime,shuffleRemoteBytesRead,shuffleLocalBytesRead,shuffleTotalRecordsRead,
2040,4,9,9.12.247.199,ShuffleMapTask,3957,1436924857958,0,1436924854001,3948,3,0,93651,75,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2240,6,5,9.12.247.196,ShuffleMapTask,182,1436924894591,0,1436924894409,147,17,0,98928,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2440,6,7,9.12.247.186,ShuffleMapTask,305,1436924895710,0,1436924895405,295,3,0,99749,39,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2640,6,2,9.12.247.200,ShuffleMapTask,4112,1436924914897,0,1436924910785,4103,3,0,666890,80,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2840,6,6,9.12.247.202,ShuffleMapTask,5187,1436924940993,0,1436924935806,5179,1,0,82488,68,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
3040,8,4,9.12.247.208,ResultTask,365,1436924968677,0,1436924968312,358,2,0,null,23,1825,0,0,null,null,Memory,108606240,1180555,null,null,null,null,null,null,
3240,8,3,9.12.247.192,ResultTask,517,1436924970835,0,1436924970318,499,2,0,null,0,1825,0,0,null,null,Memory,108606240,1180555,null,null,null,null,null,null,
3440,8,9,9.12.247.199,ResultTask,4838,1436924995907,0,1436924991069,4829,1,0,null,23,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3640,8,5,9.12.247.196,ResultTask,4040,1436925023456,0,1436925019416,4032,2,0,null,70,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
40,1,2,9.12.247.200,ResultTask,26850,1436924342283,0,1436924315433,25808,992,1,null,2138,2336,0,0,null,null,Hadoop,121457204,1180555,null,null,null,null,null,null,
240,1,3,9.12.247.192,ResultTask,29577,1436924471815,0,1436924442238,29552,6,0,null,2211,2336,0,0,null,null,Hadoop,121454154,1180555,null,null,null,null,null,null,
440,1,0,9.12.247.197,ResultTask,19612,1436924582916,0,1436924563304,19595,5,0,null,627,2336,0,0,null,null,Hadoop,121452267,1180555,null,null,null,null,null,null,
640,1,5,9.12.247.196,ResultTask,25425,1436924703602,0,1436924678177,25410,4,0,null,902,2336,0,0,null,null,Hadoop,121456637,1180555,null,null,null,null,null,null,
840,2,0,9.12.247.197,ShuffleMapTask,212,1436924746015,0,1436924745803,194,5,0,75108,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1040,2,1,9.12.247.201,ShuffleMapTask,7812,1436924756224,0,1436924748412,7799,4,0,78355,71,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1240,2,9,9.12.247.199,ShuffleMapTask,4054,1436924776520,0,1436924772466,4042,4,0,78385,105,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1440,2,0,9.12.247.197,ShuffleMapTask,3402,1436924819805,0,1436924816403,3392,3,0,75798,152,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1640,4,4,9.12.247.208,ShuffleMapTask,172,1436924821677,0,1436924821505,163,3,0,60573,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
41,1,5,9.12.247.196,ResultTask,24643,1436924340077,0,1436924315434,23499,1089,0,null,1976,2336,0,0,null,null,Hadoop,121455759,1180555,null,null,null,null,null,null,
241,1,3,9.12.247.192,ResultTask,30752,1436924473273,0,1436924442521,30726,7,0,null,2388,2336,0,0,null,null,Hadoop,121453407,1180555,null,null,null,null,null,null,
441,1,8,9.12.247.250,ResultTask,19422,1436924582976,0,1436924563554,19405,5,0,null,782,2336,0,0,null,null,Hadoop,121455625,1180555,null,null,null,null,null,null,
641,1,2,9.12.247.200,ResultTask,18018,1436924697998,0,1436924679980,18000,4,0,null,715,2336,0,0,null,null,Hadoop,121456299,1180555,null,null,null,null,null,null,
841,2,4,9.12.247.208,ShuffleMapTask,164,1436924745968,0,1436924745804,147,5,1,92031,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1041,2,1,9.12.247.201,ShuffleMapTask,7281,1436924755751,0,1436924748470,7267,6,1,85895,71,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1241,2,1,9.12.247.201,ShuffleMapTask,5568,1436924778349,0,1436924772781,5556,4,0,76204,146,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1441,3,5,9.12.247.196,ResultTask,703,1436924820524,0,1436924819821,517,172,0,null,0,937,0,0,null,null,null,null,null,23,5,153,2231,485,28,
1641,4,5,9.12.247.196,ShuffleMapTask,330,1436924821852,0,1436924821522,311,11,0,107721,131,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1841,4,9,9.12.247.199,ShuffleMapTask,3957,1436924834670,0,1436924830713,3942,3,0,77775,221,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2041,4,4,9.12.247.208,ShuffleMapTask,4607,1436924858630,0,1436924854023,4599,1,0,90065,222,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2241,6,1,9.12.247.201,ShuffleMapTask,232,1436924894642,0,1436924894410,202,15,0,89705,23,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2441,6,2,9.12.247.200,ShuffleMapTask,182,1436924895589,0,1436924895407,174,2,1,61761,26,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2641,6,8,9.12.247.250,ShuffleMapTask,3434,1436924914408,0,1436924910974,3427,2,0,71333,151,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2841,6,5,9.12.247.196,ShuffleMapTask,4037,1436924939948,0,1436924935911,4030,2,0,80206,53,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
3041,8,4,9.12.247.208,ResultTask,358,1436924968676,0,1436924968318,348,2,0,null,23,1825,0,0,null,null,Memory,108606240,1180555,null,null,null,null,null,null,
3241,8,2,9.12.247.200,ResultTask,5522,1436924975849,0,1436924970327,5514,2,0,null,124,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3441,8,0,9.12.247.197,ResultTask,5934,1436924997006,0,1436924991072,5926,1,0,null,178,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3641,8,6,9.12.247.202,ResultTask,5045,1436925024590,0,1436925019545,5036,2,0,null,114,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
42,1,0,9.12.247.197,ResultTask,20547,1436924356139,0,1436924335592,20519,8,0,null,1530,2336,0,0,null,null,Hadoop,121453560,1180555,null,null,null,null,null,null,
242,1,5,9.12.247.196,ResultTask,16668,1436924459382,0,1436924442714,16647,5,0,null,1838,2336,0,0,null,null,Hadoop,121457567,1180555,null,null,null,null,null,null,
442,1,2,9.12.247.200,ResultTask,15926,1436924579828,0,1436924563902,15908,4,0,null,335,2336,0,0,null,null,Hadoop,121452661,1180555,null,null,null,null,null,null,
642,1,9,9.12.247.199,ResultTask,17684,1436924698352,0,1436924680668,17669,3,0,null,705,2336,0,0,null,null,Hadoop,121454164,1180555,null,null,null,null,null,null,
842,2,4,9.12.247.208,ShuffleMapTask,180,1436924745996,0,1436924745816,167,4,0,99826,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1042,2,1,9.12.247.201,ShuffleMapTask,8310,1436924756782,0,1436924748472,8298,4,1,31196954,71,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1242,2,5,9.12.247.196,ShuffleMapTask,4252,1436924777244,0,1436924772992,4238,6,0,78641,28,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
