Stage ID,Real Duration,Estimated Duration,Error,Error Percentage,Size,Error/AppDuration
8,97025,103823,6798,0.07006441638752899,28.50847167056054,0.0010683933630109268
9,334743,327253,7490,0.02237537454106583,28.50847167056054,0.001177150086636046
270,38017,32163,5854,0.1539837441144751,28.50847167056054,9.200315897419778E-4
207,95242,99173,3931,0.041273807773881274,28.50847167056054,6.178073418646591E-4
208,70215,71872,1657,0.023598946094139428,28.50847167056054,2.6041891769772077E-4
209,274765,260520,14245,0.05184430331374083,28.50847167056054,0.0022387854451442557
18,99891,97602,2289,0.02291497732528456,28.50847167056054,3.5974586759811875E-4
82,96499,104246,7747,0.08028062466968569,28.50847167056054,0.0012175409507569359
19,117004,97364,19640,0.16785750914498648,28.50847167056054,0.0030866792658921153
83,99634,111798,12164,0.12208683782644479,28.50847167056054,0.0019117294597918377
20,274254,273945,309,0.0011266927738519767,28.50847167056054,4.856333468231485E-5
84,278235,299089,20854,0.07495103060362643,28.50847167056054,0.0032774750209223105
151,97638,99465,1827,0.018711976894241995,28.50847167056054,2.871366099177645E-4
152,95703,92933,2770,0.028943711273418805,28.50847167056054,4.353412202913014E-4
153,241965,253165,11200,0.046287686235612586,28.50847167056054,0.0017602244286146485
31,101211,101411,200,0.0019760697947851518,28.50847167056054,3.143257908240444E-5
32,121015,112153,8862,0.07323059124901872,28.50847167056054,0.0013927775791413406
33,280299,313260,32961,0.11759228538096818,28.50847167056054,0.005180246195675663
103,102046,102774,728,0.007134037590890383,28.50847167056054,1.1441458785995214E-4
104,107815,114211,6396,0.05932384176598803,28.50847167056054,0.0010052138790552939
105,278978,288956,9978,0.035766261138871165,28.50847167056054,0.0015681713704211572
46,95711,98329,2618,0.027353177795655673,28.50847167056054,4.1145246018867404E-4
238,111683,102683,9000,0.08058522783234691,28.50847167056054,0.0014144660587081996
47,109086,109142,56,5.133564343728801E-4,28.50847167056054,8.801122143073241E-6
239,105677,90192,15485,0.14653141175468645,28.50847167056054,0.0024336674354551633
48,294139,302862,8723,0.029656046970989905,28.50847167056054,0.0013709319366790695
240,233070,221958,11112,0.04767666366327713,28.50847167056054,0.0017463940938183904
178,101495,101587,92,9.064485935267747E-4,28.50847167056054,1.445898637790604E-5
179,95443,91906,3537,0.0370587680605178,28.50847167056054,5.558851610723225E-4
